Прогон через двух агентов, европа и рф.
                            public_key                            |                     address                      |  rating   | valid_cnt | total_cnt | availability_percent 
 dea2766730486d71173a37ae36a816e7b1bbbc58e40567801a4a0b3bc3e2ff0c | EQCM9DbjYI14wzImRjY5gsrl6UcDfKdk7nnbJfJGRcAIl6hY | 16.946837 |        95 |        98 |                96.94
 5613a2bd3c9b6c6764afc96e0d3bb8734a9519d4bbbc569869400ec98427e922 | EQCD35RZlIiByq2QBw9_M8jmu2wDAApO4PBIm1bHmXlicBNx | 15.779570 |       348 |       350 |                99.43
 30f167a33cdbb78ef5997b7134be8f7d0469742244dc0c6ff4ab70214e886d48 | EQDq95zEi68_QBRVR-WguwBSTdoTPrrnEqTStpBqIRCFe7zv | 15.335766 |         0 |       204 |                 0.00
 f854036e9689595d22a2c2ee4f766bcfafb72b29125c47fc925f51ee1e03a00a | EQCrnhxPVMeN3aSLOCMD1T5e6yzWgB3-qU2FtQlwkktG1cgL | 14.726336 |       111 |       116 |                95.69
 95b42da4168733cbed792d2baf3c40facb6ebc432b04d402dc764110cbf9d6fb | EQCD_dfhloEW4nl9YFn6rN4v3Mrvtai2hoL8U89cWWt5h7X_ | 14.633119 |        74 |        75 |                98.67
 94059ff6f0e534b571797a41d2203c500b305e924333ff2264ae20ca0976f9f7 | EQC2eTZ8uxfIsKxtYIRhzAOXw_DMHeSiuTuDMoYQmN8w29gv | 14.615121 |       191 |       195 |                97.95
 3a65231e59031a3a0c6f363030712730b11562a3c77556184c05d58adeb6b466 | EQAjRhPNqC9mY2muFNsYwYI5eqb-lsq-sD5xk3SLfrDljMwB | 14.613961 |       247 |       263 |                93.92
 99dedb19e91aded4aacc8427252a14d2ed7ed256fa95365250d13d1e0c0c8ea1 | EQAcgSyvyvUEl8B4cPAZLnoAaWKvAkib-2xm5PlyLOvwDj4b | 14.610180 |       328 |       346 |                94.80
 41a9cd79f55b0abe00b68df838384fbebf16ea11d0f24a8a480f907a93bf33c9 | EQDynO7t2vznIrXKu7jynxWR1ayGhC1c1sWSI16vr3KE3OG2 | 14.599892 |       169 |       171 |                98.83
 d0e6b390aa648583f6360b2bab78bf6f49e4e822de9c02c5cdb79f49c81efd2c | EQBGpl22HwUZDhrymsBXzES9ukI1S7wDZzBZzMaGojWtUC6G | 14.593242 |         0 |       476 |                 0.00
 a10d29fcc3f09e2bcf35837771744bf09063cbc31f3f63d8ea5e27381fe44052 | EQDRT4NtxE_1OCEZeslKDO-KeYisJsC5AXOQZZMYi0jjnFPQ | 14.592136 |       395 |       457 |                86.43
 703bc4d28c500aeba66d9e5c0792651e7e07641bd020cf812a976ffc040f829d | EQBnkUL42ufRlDaM8nUYqhwqFfTsYc2v4oxPXK0y3sKw4Z2s | 14.574551 |       199 |       201 |                99.00
 301f36bba3a50681f82e3fd19691a39808c0e2ec9107b280693adb4c482a8f40 | EQB7p0vuZi-_dIRn4oizKzStx0A0br0KAYZUcdONAu_xW4xZ | 14.568704 |       517 |       551 |                93.83
 0f0a094dca1657def0961b80300a4908d0a89f222de504791c9ec30783420181 | EQBO-m4wxJF207zUw2bonnVA6m-pdeaekHCgwtgzKEwh_IeL | 14.556962 |         0 |       486 |                 0.00
 bc0b88cb8df9c7c595f0ec50960489cb5471f935415e2ee3e389466503b2281d | EQBVd18ZQJjtulDpiwiDlaTKXzwNUwfzcITtddlNMlEPxgXl | 14.554773 |       674 |       675 |                99.85
 45866283292b97df6b339537702d69dda3460a74db89e868e478322caa59104a | EQBKgDq3HJXeQJRsr-BeaNsYLFesEAGXVkKw3jEukkfagKuR | 14.536836 |         0 |        67 |                 0.00
